post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-12-08 22:05:53,자우버 뭐야?,"붙어있노ㅅㅅㅅ
- dc official App",2,2.0,"자우버 뭐야? 붙어있노ㅅㅅㅅ
- dc official App",자우버 뭐야? 붙어있노ㅅㅅㅅ - dc official App,0.5105175971984863
2024-12-08 22:05:54,??? : 우리는 레이스를 이기려고 하는 게 아니야,우리는 너희를 미치게 만들고 싶다,2,2.0,??? : 우리는 레이스를 이기려고 하는 게 아니야 우리는 너희를 미치게 만들고 싶다,??? : 우리는 레이스를 이기려고 하는 게 아니야 우리는 너희를 미치게 만들고 싶다,0.8767859935760498
2024-12-08 22:05:56,몽골 << 개노잼 될 뻔 한거 흥미진진히게 만듬 ㅋㅋㅋㅋㅂ,,2,2.0,몽골 << 개노잼 될 뻔 한거 흥미진진히게 만듬 ㅋㅋㅋㅋㅂ ,몽골 << 개노잼 될 뻔 한거 흥미진진히게 만듬 ㅋㅋㅋㅋㅂ,0.5479916334152222
2024-12-08 22:05:57,피아제 리타해도 맥라렌 챔 가능함?,되냐고,2,2.0,피아제 리타해도 맥라렌 챔 가능함? 되냐고,피아제 리타해도 맥라렌 챔 가능함? 되냐고,0.6442795395851135
2024-12-08 22:05:58,와 진짜 존나놀랐네 ㅋㅋㅋㅌ,,2,2.0,와 진짜 존나놀랐네 ㅋㅋㅋㅌ ,와 진짜 존나놀랐네 ㅋㅋㅋㅌ,0.08217538148164749
2024-12-08 22:05:59,르끌 완전 키미 그거 같은데,ㅋㅋㅋㅋ,2,2.0,르끌 완전 키미 그거 같은데 ㅋㅋㅋㅋ,르끌 완전 키미 그거 같은데 ㅋㅋㅋㅋ,0.4579457938671112
2024-12-08 22:06:00,노리스 폴투윈 하면 상관업자나,가자,2,2.0,노리스 폴투윈 하면 상관업자나 가자,노리스 폴투윈 하면 상관업자나 가자,0.1272902637720108
2024-12-08 22:06:00,체코 ㄹㅇ 병신이네,,2,2.0,체코 ㄹㅇ 병신이네 ,체코 ㄹㅇ 병신이네,0.7295293211936951
2024-12-08 22:06:02,4챔의 품격 ㅋㅋ,ㅋㅋ,2,2.0,4챔의 품격 ㅋㅋ ㅋㅋ,4챔의 품격 ㅋㅋ ㅋㅋ,0.443502813577652
2024-12-08 22:06:03,대 막 스 ㅋㅋㅋㅋ,,2,2.0,대 막 스 ㅋㅋㅋㅋ ,대 막 스 ㅋㅋㅋㅋ,0.4781222641468048
2024-12-08 22:06:03,대몽골 어뢰 ㅋㅋㅋ,ㅋㅋㅋㅋ,2,2.0,대몽골 어뢰 ㅋㅋㅋ ㅋㅋㅋㅋ,대몽골 어뢰 ㅋㅋㅋ ㅋㅋㅋㅋ,0.6651635766029358
2024-12-08 22:06:03,몽골 ㅈㄴ 스무스하네 ㅋㅋㅋㅋㅋ,,2,2.0,몽골 ㅈㄴ 스무스하네 ㅋㅋㅋㅋㅋ ,몽골 ㅈㄴ 스무스하네 ㅋㅋㅋㅋㅋ,0.7113327383995056
