Lap_Label,Comment_Count
Before Lap,21
1.0,450
2.0,42
3.0,37
4.0,28
5.0,34
6.0,24
7.0,37
8.0,29
9.0,21
10.0,12
11.0,14
12.0,17
13.0,63
14.0,52
15.0,39
16.0,29
17.0,21
18.0,35
19.0,39
20.0,38
21.0,14
22.0,28
23.0,51
24.0,36
25.0,31
26.0,30
27.0,87
28.0,72
29.0,20
30.0,13
31.0,14
32.0,11
33.0,8
34.0,42
35.0,46
36.0,32
37.0,13
38.0,11
39.0,3
40.0,3
41.0,8
42.0,18
43.0,47
44.0,24
45.0,24
46.0,25
47.0,40
48.0,9
49.0,79
50.0,14
51.0,17
52.0,7
53.0,14
After Lap,49
