post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-12-02 01:04:43,개 씨발 좆같은 씨발 존나빡치는 펠라단은 개추,- dc official App,1,1.0
2024-12-02 01:04:44,역시 폴 아니니 스타트 잘하노 ㅋㅋ,,1,1.0
2024-12-02 01:04:44,물탕 패널티다,- dc official App,1,1.0
2024-12-02 01:04:47,??: 폴스타트 그렇게 하는거 아닌데,,1,1.0
2024-12-02 01:04:46,2그리드 약점은 개뿔 1등이노ㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:04:47,콜라 아웃 ㅋㅋㅋ,,1,1.0
2024-12-02 01:04:47,뒤에 십창남ㅋㅋ,,1,1.0
2024-12-02 01:04:47,뭐야 콜라 뭐임,,1,1.0
2024-12-02 01:04:49,몽골 이새끼는 진짜 개좆되네 ㅋㅋㅋㅋㅋㅋㅋ,"ㅋㅋㅋㅋㅋ
- dc official App",1,1.0
2024-12-02 01:04:49,대 몽 골,- dc official App,1,1.0
2024-12-02 01:04:51,콜라 꼴박ㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:04:51,뒤에 난리네,ㄷㄷㄷ,1,1.0
2024-12-02 01:04:52,콜라 멸망ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:04:52,또 콜라야?,,1,1.0
2024-12-02 01:04:53,개판이노 ㅋㅋㅋㅋㅋ,- dc official App,1,1.0
2024-12-02 01:04:53,콜라 사망ㅋㅋ,ㅋㅋㅋ,1,1.0
2024-12-02 01:04:54,르끌ㅅㅅㅅ,조오ㅓ용,1,1.0
2024-12-02 01:04:54,콜라 이새끼 머ㅓ해,,1,1.0
2024-12-02 01:04:54,누구 돌았는데 ㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:04:55,차또뿌셨냐?,ㅋㅋㅋㅋ,1,1.0
2024-12-02 01:04:54,한캐 시발 카메라 색깔이 안보이노 ㅋㅋㅋㅋㅋㅋㅋ,페라리 자동차 ㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:04:55,콜라 또사망ㅋㅋㅋㅋ,"디스트럭터 챔피언 가자
- dc official App",1,1.0
2024-12-02 01:04:55,대몽골ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:04:54,또 콜라네 ㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:04:55,뒤에 지랄났노 ㅋㅋㅋ,- dc official App,1,1.0
2024-12-02 01:04:56,콜라핀토 굴렀놐ㅋㅋ,,1,1.0
2024-12-02 01:04:56,저우 제자리 ㅋㅋㅋ,- dc official App,1,1.0
2024-12-02 01:04:56,또 crashpinto?,,1,1.0
2024-12-02 01:04:57,아 니미 z,- dc official App,1,1.0
2024-12-02 01:04:57,윌리엄스 사망ㅋㅋㅋㅋㅋ,"컄ㅋㅋㅋㅋ
- dc official App",1,1.0
2024-12-02 01:04:59,콜라야 또 너냐,아이고,1,1.0
2024-12-02 01:04:59,콜라 사망...,- dc official App,1,1.0
2024-12-02 01:04:58,또 콜라야?,- dc official App,1,1.0
2024-12-02 01:05:00,오콘리타뭔데씨발,애미,1,1.0
2024-12-02 01:05:01,아이거 콜라야,,1,1.0
2024-12-02 01:05:01,콜라 ㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:02,윌리엄스 비상 ㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:02,윌 어카냐 ㅋㅋㅋㅋㅋㅋㄱㄱ,,1,1.0
2024-12-02 01:05:03,제로콜라 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:05,한캐기절ㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:07,콜라햄 또죽엇노 ㅋㅋ,아 ㅋㅋ,1,1.0
2024-12-02 01:05:07,셒카입갯ㅋㅋㅌㅋㅋ,ㅌㅋㅌㅋㅋㅋ,1,1.0
2024-12-02 01:05:09,윌 멸망ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:10,막스 뭐임 ㅈㄴ 잘하는데,"차기 호날두네
- dc official App",1,1.0
2024-12-02 01:05:10,또 제로콜라임?,- dc official App,1,1.0
2024-12-02 01:05:10,1랩 세카 ㅋㅋ,,1,1.0
2024-12-02 01:05:12,변경된 레이스 디렉터 ㅋㅋㅋㅋ,- dc official App,1,1.0
