post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,LABEL_5,LABEL_1,LABEL_3,LABEL_0,LABEL_2,LABEL_4
2024-12-02 01:00:02,오렌지 = 무관색 ㄷㄷㄷ,,Before Lap,,오렌지 = 무관색 ㄷㄷㄷ ,오렌지 = 무관색 ㄷㄷㄷ,0.34206706285476685,0.21296781301498413,0.16013920307159424,0.12070461362600327,0.10899971425533295,0.055121663957834244
2024-12-02 01:00:02,케로위키 즉시 수정 ㅋㅋㅋㅋㅋ,,Before Lap,,케로위키 즉시 수정 ㅋㅋㅋㅋㅋ ,케로위키 즉시 수정 ㅋㅋㅋㅋㅋ,0.08812851458787918,0.13576342165470123,0.6338260769844055,0.07144558429718018,0.028431734070181847,0.04240463674068451
2024-12-02 01:00:04,안캐 vs 한캐,vs 기습 박캐,Before Lap,,안캐 vs 한캐 vs 기습 박캐,안캐 vs 한캐 vs 기습 박캐,0.09359830617904663,0.13831794261932373,0.6430349349975586,0.06499210000038147,0.02757641114294529,0.03248036652803421
2024-12-02 01:00:05,와 우승하면 파파야로 최초우승이냐,ㄹㅈㄷ네,Before Lap,,와 우승하면 파파야로 최초우승이냐 ㄹㅈㄷ네,와 우승하면 파파야로 최초우승이냐 ㄹㅈㄷ네,0.2818901240825653,0.2017401158809662,0.2843688726425171,0.09987831115722656,0.09237248450517654,0.039750050753355026
2024-12-02 01:00:10,온도 높으면 맥라렌이 더 유리한데,,Before Lap,,온도 높으면 맥라렌이 더 유리한데 ,온도 높으면 맥라렌이 더 유리한데,0.3252808153629303,0.25262734293937683,0.15656986832618713,0.09740602225065231,0.08145422488451004,0.086661696434021
2024-12-02 01:00:19,대문 누가 바꿨냐 왜 찌그러진 피아제냐 ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅇㅇㅈㅈㅇㅁㅇㅂㅈㅁㄴㅇㅋㅋ,Before Lap,,대문 누가 바꿨냐 왜 찌그러진 피아제냐 ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅇㅇㅈㅈㅇㅁㅇㅂㅈㅁㄴㅇㅋㅋ,대문 누가 바꿨냐 왜 찌그러진 피아제냐 ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅇㅇㅈㅈㅇㅁㅇㅂㅈㅁㄴㅇㅋㅋ,0.23936213552951813,0.25777536630630493,0.17084549367427826,0.17455749213695526,0.08106666058301926,0.07639283686876297
2024-12-02 01:00:23,눈에 독기가없네,- dc official App,Before Lap,,눈에 독기가없네 - dc official App,눈에 독기가없네 - dc official App,0.3235075771808624,0.22906284034252167,0.15357260406017303,0.11146234720945358,0.11479785293340683,0.06759677082300186
2024-12-02 01:00:25,스타트 이후 못따면 그대로 컨챔 확정.,"그러니까 사고가 나든 슈퍼스타트를 하든 뭘 하든 제발 스타트때 르끌레가 맥라렌 1명은 따라....
- dc official App",Before Lap,,"스타트 이후 못따면 그대로 컨챔 확정. 그러니까 사고가 나든 슈퍼스타트를 하든 뭘 하든 제발 스타트때 르끌레가 맥라렌 1명은 따라....
- dc official App",스타트 이후 못따면 그대로 컨챔 확정. 그러니까 사고가 나든 슈퍼스타트를 하든 뭘 하든 제발 스타트때 르끌레가 맥라렌 1명은 따라....,0.21212315559387207,0.24034008383750916,0.11223923414945602,0.14663147926330566,0.11226285248994827,0.1764032542705536
2024-12-02 01:00:24,"""지난 세대""의 페라리의 영광.JPG",,Before Lap,,"""지난 세대""의 페라리의 영광.JPG ","""지난 세대""의 페라리의 영광.JPG",0.06695650517940521,0.13328883051872253,0.6405792832374573,0.06891334056854248,0.029811156913638115,0.060450874269008636
2024-12-02 01:00:27,온도가 높으면 메르 긴장아니냐,엉뜨이슈 on,Before Lap,,온도가 높으면 메르 긴장아니냐 엉뜨이슈 on,온도가 높으면 메르 긴장아니냐 엉뜨이슈 on,0.3379792273044586,0.23908455669879913,0.13118383288383484,0.10641542077064514,0.10543116182088852,0.07990587502717972
